MUN_URI,DBPEDIA_LINK
"http://opendata.aragon.es/recurso/territorio/Municipio/Albarracín","http://es.dbpedia.org/resource/Albarracín"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcorisa","http://es.dbpedia.org/resource/Alcorisa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcaine","http://es.dbpedia.org/resource/Alcaine"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alfambra","http://es.dbpedia.org/resource/Alfambra"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcañiz","http://es.dbpedia.org/resource/Alcañiz"
"http://opendata.aragon.es/recurso/territorio/Municipio/Almohaja","http://es.dbpedia.org/resource/Almohaja"
"http://opendata.aragon.es/recurso/territorio/Municipio/Aliaga","http://es.dbpedia.org/resource/Aliaga"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alobras","http://es.dbpedia.org/resource/Alobras"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alpeñés","http://es.dbpedia.org/resource/Alpeñés"
"http://opendata.aragon.es/recurso/territorio/Municipio/Allepuz","http://es.dbpedia.org/resource/Allepuz"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alloza","http://es.dbpedia.org/resource/Alloza"
"http://opendata.aragon.es/recurso/territorio/Municipio/Allueva","http://es.dbpedia.org/resource/Allueva"
"http://opendata.aragon.es/recurso/territorio/Municipio/Andorra","http://es.dbpedia.org/resource/Andorra"
"http://opendata.aragon.es/recurso/territorio/Municipio/Anadón","http://es.dbpedia.org/resource/Anadón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Argente","http://es.dbpedia.org/resource/Argente"
"http://opendata.aragon.es/recurso/territorio/Municipio/Azaila","http://es.dbpedia.org/resource/Azaila"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bádenas","http://es.dbpedia.org/resource/Bádenas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Báguena","http://es.dbpedia.org/resource/Báguena"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bañón","http://es.dbpedia.org/resource/Bañón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bea","http://es.dbpedia.org/resource/Bea"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ariño","http://es.dbpedia.org/resource/Ariño"
"http://opendata.aragon.es/recurso/territorio/Municipio/Beceite","http://es.dbpedia.org/resource/Beceite"
